@relation microarray

@attribute 'Peroxide 0' real
@attribute 'Peroxide 10' real
@attribute 'Peroxide 20' real
@attribute 'Peroxide 40' real
@attribute 'Peroxide 60' real
@attribute 'Peroxide 120' real
@attribute 'Deletant sensitivity to H2O2' {'Not sensitive','Sensitive'}

@data
32.20,18.50,10.00,57.90,69.70,10.30,'Not sensitive'
89.40,41.50,45.90,51.40,75.50,63.50,'Not sensitive'
?,?,?,?,?,?,'Sensitive'
337.15,334.20,282.50,448.10,372.20,269.30,'Sensitive'
171.55,78.90,72.40,120.40,147.90,116.80,'Sensitive'
163.20,137.00,98.30,52.40,37.70,87.10,'Sensitive'
182.70,184.70,187.80,174.60,175.40,170.00,'Sensitive'
?,?,?,11.50,?,?,'Sensitive'
91.05,47.90,41.20,104.70,128.00,81.10,'Sensitive'
439.20,242.80,171.90,214.50,407.40,351.00,'Sensitive'
87.85,18.00,9.40,7.60,30.60,54.40,'Not sensitive'
324.80,38.10,47.10,107.60,234.40,139.20,'Not sensitive'
102.10,74.90,50.60,91.90,203.00,92.00,'Not sensitive'
831.35,906.40,802.30,736.40,1039.90,604.00,'Sensitive'
411.70,599.90,397.90,291.90,568.90,387.90,'Sensitive'
168.10,123.20,59.50,94.80,126.10,130.70,'Sensitive'
?,?,?,?,?,?,'Sensitive'
422.40,210.60,127.10,67.20,51.10,233.60,'Not sensitive'
65.50,29.50,14.70,26.30,57.50,33.30,'Sensitive'
32.20,?,?,18.40,?,31.40,'Not sensitive'
?,?,?,?,?,?,'Not sensitive'
26.60,5.30,?,?,24.20,3.00,'Sensitive'
93.20,98.50,58.30,90.90,137.00,93.80,'Sensitive'
?,?,?,?,?,?,'Sensitive'
?,?,0.00,?,0.00,?,'Not sensitive'
256.40,168.60,130.10,236.70,269.60,269.90,'Sensitive'
290.55,572.80,369.60,183.00,59.50,169.40,'Sensitive'
61.00,84.70,107.10,91.90,89.60,71.40,'Not sensitive'
111.00,27.20,24.70,108.60,135.10,94.40,'Not sensitive'
39.90,81.80,90.10,108.10,85.10,43.60,'Sensitive'
51.00,45.60,69.50,46.50,42.80,32.10,'Not sensitive'
217.50,114.00,133.60,279.60,286.30,240.90,'Sensitive'
?,?,?,?,?,?,'Sensitive'
?,?,116.60,132.30,143.40,?,'Sensitive'
332.80,239.90,207.80,156.40,194.00,355.30,'Not sensitive'
401.80,223.20,288.40,447.10,436.90,260.20,'Not sensitive'
?,?,?,?,?,?,'Not sensitive'
?,?,?,?,?,?,'Not sensitive'
?,?,0.00,17.40,33.20,?,'Sensitive'
1188.00,802.80,602.10,603.80,707.30,882.40,'Not sensitive'
277.50,330.80,253.70,275.20,367.70,280.20,'Not sensitive'
?,?,?,?,?,?,'Not sensitive'
115.40,58.20,40.00,57.40,65.90,108.30,'Not sensitive'
899.90,564.20,415.60,515.10,470.20,422.40,'Sensitive'
452.35,335.40,235.40,276.10,156.90,272.30,'Not sensitive'
67.90,39.20,30.00,39.60,?,?,'Not sensitive'
2475.80,1661.90,1123.60,1521.30,1605.00,1842.30,'Sensitive'
123.10,128.90,83.60,73.10,69.70,?,'Not sensitive'
238.40,62.20,72.40,117.00,184.40,170.70,'Sensitive'
274.20,93.30,95.40,81.50,212.60,248.70,'Not sensitive'
545.45,171.50,207.20,153.40,188.30,392.80,'Sensitive'
818.10,622.90,520.90,459.40,375.40,531.40,'Not sensitive'
1376.05,1148.40,1150.10,1435.60,2286.80,1475.00,'Not sensitive'
1680.35,1189.80,1211.90,2050.50,5283.80,1711.00,'Not sensitive'
3546.05,2683.70,2443.30,2382.10,5295.30,3376.60,'Not sensitive'
150.85,38.10,17.70,18.90,53.00,121.60,'Not sensitive'
61.65,?,55.30,130.30,69.10,40.50,'Sensitive'
1204.75,921.90,646.30,1137.90,1212.90,1001.10,'Sensitive'
157.55,72.00,11.20,49.00,261.30,303.80,'Sensitive'
?,?,?,?,?,?,'Not sensitive'
37.70,0.00,?,?,27.40,30.80,'Sensitive'
534.80,445.80,505.00,575.70,769.40,521.10,'Sensitive'
23.70,?,?,17.40,17.20,?,'Sensitive'
169.80,156.50,122.40,98.80,127.40,110.70,'Not sensitive'
?,?,?,?,?,?,'Not sensitive'
76.70,16.80,18.30,54.40,51.10,59.90,'Sensitive'
14639.20,11137.60,5500.40,2686.10,1498.00,10073.70,'Not sensitive'
6.40,15.70,?,?,?,?,'Not sensitive'
883.45,1465.30,1318.50,2518.10,2201.60,894.50,'Sensitive'
663.10,?,?,?,?,490.20,'Not sensitive'
206.00,110.00,173.10,209.10,195.30,173.10,'Not sensitive'
69.55,45.60,34.20,26.30,40.20,61.70,'Sensitive'
56.80,10.50,?,?,?,?,'Not sensitive'
?,162.30,?,404.20,517.00,266.90,'Not sensitive'
107.15,139.90,136.60,213.10,199.10,136.20,'Sensitive'
427.60,229.00,46.50,?,51.10,210.00,'Not sensitive'
118.05,87.00,75.40,98.30,112.00,?,'Not sensitive'
?,8.20,18.80,40.10,20.40,?,'Not sensitive'
51.20,3.00,?,?,35.70,?,'Not sensitive'
187.00,203.10,210.70,223.90,259.40,200.30,'Sensitive'
127.95,85.80,50.00,88.90,118.40,?,'Not sensitive'
?,?,?,?,?,?,'Sensitive'
?,?,?,49.00,83.80,?,'Not sensitive'
?,?,?,?,?,?,'Sensitive'
102.65,89.30,75.40,95.30,128.00,115.60,'Not sensitive'
556.90,571.70,620.40,905.40,838.00,559.20,'Not sensitive'
111.70,118.60,103.60,198.30,126.10,96.80,'Sensitive'
2638.00,1731.50,1199.00,1791.30,1695.40,1845.40,'Sensitive'
134.80,17.40,37.10,45.50,31.30,77.40,'Sensitive'
132.70,158.30,90.70,182.50,146.60,?,'Not sensitive'
?,22.60,18.30,35.20,37.00,?,'Not sensitive'
?,?,?,?,?,?,'Not sensitive'
1220.15,728.10,200.70,248.10,356.10,702.10,'Not sensitive'
42.20,98.50,105.40,193.40,118.40,55.70,'Sensitive'
3041.95,2047.80,914.10,795.50,624.00,2343.50,'Sensitive'
5.90,0.70,14.70,43.60,37.70,29.60,'Sensitive'
329.10,282.50,171.30,270.20,305.50,323.80,'Sensitive'
163.75,133.50,133.00,255.40,143.40,137.40,'Sensitive'
?,0.00,?,?,?,?,'Sensitive'
?,?,?,?,?,?,'Sensitive'
638.15,1208.80,1365.00,680.20,871.30,834.60,'Sensitive'
114.25,95.00,117.10,129.80,123.50,141.60,'Sensitive'
?,38.70,17.10,17.00,84.40,24.20,'Not sensitive'
44.50,191.60,193.70,231.80,117.10,44.80,'Not sensitive'
932.60,732.70,265.50,186.00,222.20,613.70,'Sensitive'
439.65,563.60,289.60,380.60,443.90,401.30,'Sensitive'
563.20,289.90,177.20,287.50,326.70,398.20,'Not sensitive'
